20190721,20190802,20190814,20190826,20190907,20190919,20191001,20191013,20191025,20191106,20191118,20191130,20191212,20191224,20200105,20200117,20200129,20200210,20200222,20200305,20200317,20200329,20200410,20200422,20200715,20200727,20200808,20200820,20200901,20200913,20200925,20201007,20201019,20201031,20201206,20201218,20201230
0,4.83,9.289,10.198,11.082,10.385,13.292,15.296,15.322,14.123,16.326,11.088,15.507,14.488,13.488,9.812,14.98,13.314,14.125,13.786,11.201,11.825,15.145,10.269,15.669,16.451,17.921,17.366,14,14.238,11.871,15.116,12.333,14.355,18.169,21.601,18.435
0,1.399,7.131,8.185,8.019,8.592,10.905,13.161,13.303,12.98,14.433,8.401,15.236,13.788,12.421,6.029,13.009,11.906,12.652,13.527,9.908,12.39,15.766,7.6,13.322,13.754,14.808,15.927,12.472,12.055,9.388,12.236,10.046,11.413,15.517,20.024,14.83
0,-1.684,7.617,8.294,6.681,8.07,9.951,13.001,12.381,12.856,13.907,6.519,15.266,12.46,11.692,2.585,11.935,12.689,12.124,12.753,10.186,12.892,14.525,6.711,12.881,12.745,12.396,15.062,11.973,11.045,9.036,12.114,12.38,8.81,14.933,19.878,12.167
0,3.809,8.137,11.158,10.708,10.037,12.553,16.283,13.729,14.912,15.795,11.195,16.021,15.679,13.871,8.862,15.496,15.198,13.986,14.374,10.004,10.263,13.197,7.875,11.521,16.104,17.595,14.009,11.617,13.101,10.547,14.468,11.086,12.718,18.189,23.076,18.099
0,1.017,7.023,9.083,7.356,8.308,10.914,13.87,12.793,13.323,13.416,9.524,15.362,13.73,12.624,4.829,13.903,13.777,13.296,15.631,14.289,11.542,14.503,5.542,7.508,14.557,14.256,12.932,9.669,10.912,7.426,11.073,8.416,8.19,16.003,21.623,15.212
0,7.509,4.037,10.803,3.422,2.846,5.379,3.681,3.475,5.098,5.248,5.168,6.922,5.459,3.494,8.069,6.749,5.878,3.058,0.788,-0.776,1.883,3.076,-1.566,8.615,6.847,2.427,12.008,6.937,8.24,5.244,6.07,8.081,7.953,15.027,2.484,17.077
0,1.512,12.183,2.195,2.137,4.223,6.965,5.472,5.24,5.33,4.738,4.876,3.294,4.481,3.38,14.603,4.506,2.523,5.141,8.857,6.901,4.576,15.21,8.161,-7.05,7.882,5.469,7.202,4.346,11.898,14.65,13.068,10.298,17.825,32.36,33.124,30.51
0,7.034,-7.334,5.977,4.384,9.387,11.848,10.68,10.557,11.236,7.588,8.177,15.102,9.047,4.753,18.525,8.654,7.772,7.943,13.993,12.551,26.077,24.016,35.275,29.932,27.296,30.35,33.107,32.469,35.502,32.656,32.099,28.325,27.462,30.695,29.702,32.152
0,7.664,3.381,5.625,3.727,11.258,10.639,10.879,9.698,11.688,9.136,6.616,9.176,9.317,4.375,13.264,5.038,10.524,8.419,4.922,5.002,8.223,10.425,15.358,13.805,10.827,11.502,7.947,12.554,11.544,14.213,14.13,11.545,10.678,12.839,11.939,13.566
